통신사,기기명,제조사,출고가,요금제,요금제_카테고리,월_납부요금,공시지원금,추가지원금,총_지원금,가입유형,네트워크,약정기간,프로모션,크롤링_시간
LG U+,갤럭시 S25 Edge 512GB (SM-S937N512),삼성,1639000,유쓰 5G 미니,전체,37000,222000,33300,255300,기기변경,5G,24개월 유지,추천할인: 33300원,2025-06-08 21:30:28
LG U+,갤럭시 S25 Edge 256GB (SM-S937N256),삼성,1496000,유쓰 5G 미니,전체,37000,222000,33300,255300,기기변경,5G,24개월 유지,추천할인: 33300원,2025-06-08 21:30:28
LG U+,아이폰 16 Pro 512GB (UIP16PR-512),애플,1991000,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:29
LG U+,아이폰 16 Pro 256GB (UIP16PR-256),애플,1694000,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:29
LG U+,아이폰 16 Pro 1TB (UIP16PR-1T),애플,2299000,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:29
LG U+,아이폰 16 Pro 128GB (UIP16PR-128),애플,1540000,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:29
LG U+,아이폰 16 512GB (UIP16-512),애플,1694000,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:29
LG U+,아이폰 16 256GB (UIP16-256),애플,1397000,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:29
LG U+,아이폰 16 128GB (UIP16-128),애플,1243000,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:29
LG U+,갤럭시 S25 Ultra 512GB (SM-S938N512),삼성,1841400,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:29
LG U+,갤럭시 S25 Ultra 256GB (SM-S938N256),삼성,1698400,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:43
LG U+,갤럭시 S25 Ultra 1TB (SM-S938N1TB),삼성,2127400,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:43
LG U+,갤럭시 S25 512GB (SM-S936N512),삼성,1496000,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:43
LG U+,갤럭시 S25 256GB (SM-S936N256),삼성,1353000,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:43
LG U+,갤럭시 S25 512GB (SM-S931N512),삼성,1298000,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:43
LG U+,갤럭시 S25 256GB (SM-S931N256),삼성,1155000,유쓰 5G 미니,전체,37000,262000,39300,301300,기기변경,5G,24개월 유지,추천할인: 79300원,2025-06-08 21:30:43
LG U+,아이폰 13 128G (A2633-128),애플,799700,유쓰 5G 미니,전체,37000,489000,73350,562350,기기변경,5G,24개월 유지,추천할인: 340350원,2025-06-08 21:30:43
LG U+,갤럭시 S23 Ultra 512GB 중고폰 (RU-SM-S918N5),삼성,823300,유쓰 5G 미니,전체,37000,204000,30600,234600,기기변경,5G,24개월 유지,추천할인: 12600원,2025-06-08 21:30:44
LG U+,갤럭시 S23 512GB 중고폰 (RU-SM-S916N5),삼성,592300,유쓰 5G 미니,전체,37000,204000,30600,234600,기기변경,5G,24개월 유지,추천할인: 12600원,2025-06-08 21:30:44
LG U+,갤럭시 S23 512GB 중고폰 (RU-SM-S911N5),삼성,545000,유쓰 5G 미니,전체,37000,204000,30600,234600,기기변경,5G,24개월 유지,추천할인: 12600원,2025-06-08 21:30:44
LG U+,갤럭시 S25 Edge 512GB (SM-S937N512),삼성,1639000,추가 요금 걱정 없는 데이터 69,전체,69000,407000,61050,468050,기기변경,LTE,24개월 유지,추천할인: 54050원,2025-06-08 21:32:12
LG U+,갤럭시 S25 Edge 256GB (SM-S937N256),삼성,1496000,추가 요금 걱정 없는 데이터 69,전체,69000,407000,61050,468050,기기변경,LTE,24개월 유지,추천할인: 54050원,2025-06-08 21:32:12
LG U+,아이폰 16 Pro 512GB (UIP16PR-512),애플,1991000,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:12
LG U+,아이폰 16 Pro 256GB (UIP16PR-256),애플,1694000,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:12
LG U+,아이폰 16 Pro 1TB (UIP16PR-1T),애플,2299000,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:12
LG U+,아이폰 16 Pro 128GB (UIP16PR-128),애플,1540000,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:12
LG U+,아이폰 16 512GB (UIP16-512),애플,1694000,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:12
LG U+,아이폰 16 256GB (UIP16-256),애플,1397000,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:12
LG U+,아이폰 16 128GB (UIP16-128),애플,1243000,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:12
LG U+,갤럭시 S25 Ultra 512GB (SM-S938N512),삼성,1841400,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:12
LG U+,갤럭시 S25 Ultra 256GB (SM-S938N256),삼성,1698400,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:26
LG U+,갤럭시 S25 Ultra 1TB (SM-S938N1TB),삼성,2127400,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:26
LG U+,갤럭시 S25 512GB (SM-S936N512),삼성,1496000,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:26
LG U+,갤럭시 S25 256GB (SM-S936N256),삼성,1353000,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:26
LG U+,갤럭시 S25 512GB (SM-S931N512),삼성,1298000,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:27
LG U+,갤럭시 S25 256GB (SM-S931N256),삼성,1155000,추가 요금 걱정 없는 데이터 69,전체,69000,487000,73050,560050,기기변경,LTE,24개월 유지,추천할인: 146050원,2025-06-08 21:32:27
LG U+,아이폰 13 128G (A2633-128),애플,799700,추가 요금 걱정 없는 데이터 69,전체,69000,496000,74400,570400,기기변경,LTE,24개월 유지,추천할인: 156400원,2025-06-08 21:32:27
LG U+,갤럭시 S23 Ultra 512GB 중고폰 (RU-SM-S918N5),삼성,823300,추가 요금 걱정 없는 데이터 69,전체,69000,346000,51900,397900,기기변경,LTE,24개월 유지,추천할인: 16100원,2025-06-08 21:32:27
LG U+,갤럭시 S23 512GB 중고폰 (RU-SM-S916N5),삼성,592300,추가 요금 걱정 없는 데이터 69,전체,69000,346000,51900,397900,기기변경,LTE,24개월 유지,추천할인: 16100원,2025-06-08 21:32:27
LG U+,갤럭시 S23 512GB 중고폰 (RU-SM-S911N5),삼성,545000,추가 요금 걱정 없는 데이터 69,전체,69000,346000,51900,397900,기기변경,LTE,24개월 유지,추천할인: 16100원,2025-06-08 21:32:27
